Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Veterinary","No","","78865","Ongoing","Pet Apothecary Llc","8850 N Port Washington Rd","","Milwaukee","WI","	53217-1676","United States","Voluntary: Firm initiated","Telephone","IL","V-0099-2018","Class I","Phenobarbital Capsule, 6 MG. The Pet Apothecary, 407 W. Silver Spring Dr., Milwaukee, WI 53217.  NDC: 38779-0852-05","60 capsules","Animal drug is superpotent.","10/20/2017","06/28/2018","","06/06/2018","Lot: 224590"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1981-2018","Class II","Pressure Injectable Multi-Lumen Central Venous Catheterization Kit; Product Code: ASK-15703-PVH and ASK-15703-PNYP                          ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   ASK-15703-PVH:  13F17D0024  13F17E0454  13F17G0083  13F17H0048  13F17J0096  13F17K0195  13F17L0138  13F17L0679  ASK-15703-PNYP:  13F17H0123"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1982-2018","Class II","ARROWg+ard Blue(R) MAC(TM) Two-Lumen Central Venous Access Kit for use with 7-7.5 Fr. Catheters; Product Code: ASK-21142-WHC2                          ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17E0597  13F17F0395  13F17K0120  13F17L0532"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1983-2018","Class II","MAC(TM) Two-Lumen Central Venous Access Kit with ARROWg+ard Blue(R) Access Device, Integral Hemostasis Valve and Sharps Safety Features for use with 7.5 - 8 Fr. Catheters; Product Code: ASK-21242-NYP and ASK-21242-PR                          ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product code ASK-21242-NYP:  13F17A0076  13F17B0076  13F17B0225  13F17E0773  13F17H0129  13F17J0020  13F17J0395  13F17L0012    Product code ASK-21242-PR:  13F17B0260  13F17F0591  13F17L0010  13F17L0273  13F17M0136"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1984-2018","Class II","Single-Lumen Central Venous Catheterization Kit with Blue FlexTip(R) ARROWg+ard Blue(R) Catheter and Sharps Safety Features; Product Code: ASK-24306-VC                          ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17D0267  13F17F0310  13F17H0326  13F17K0315"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1985-2018","Class II","ARROWg+ard Blue(R) Central Venous Catheterization Kit; Product Code: ASK-24306-WHC1 and ASK-24306-WHC2                            ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17B0024  13F17E0019  13F17E0673  13F17J0236  13F17L0497  13F17E0019  13F17E0673  13F17J0236  13F17L0497"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1986-2018","Class II","Percutaneous Sheath Introducer Kit with ARROWg+ard Blue(R) Sheath, Integral Hemostasis Valve/Side Port, Sharps Safety Features, and Maximal Barrier Precautions for use with 7.5 - 8 Fr. Catheters; Product Codes: ASK-29803-SJH, ASK-29903-SJH, and ASK-29903-UW1                        ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product Codes ASK-29803-SJH:   13F17A0276  13F17D0104  13F17F0165  13F17G0452  13F17H0251  13F17K0284  13F17L0363      Product code ASK-29903-SJH:  13F17C0105  13F17E0803  13F17G0422  13F17H0161  13F17H0204  13F17K0193  13F17M0197      Product code ASK-29903-UW1:  13F16L0231  13F17F0691"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1987-2018","Class II","Multi-Lumen Central Venous Catheterization Kit with Blue FlexTip(R), ARROWg+ard Blue PLUS(R) Catheter and Sharps Safety Features; Product Codes: ASK-42703-MHW and ASK-42703-OLL1                          ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product Codes ASK-42703-MHW:  13F16M0282  13F17D0183  13F17H0260  13F17M0344      Product Code ASK-42703-OLL1:  13F17C0293  13F17E0414  13F17J0243"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1988-2018","Class II","Pressure Injectable ARROWg+ard Blue PLUS(R) Multi-Lumen Central Venous Catheterization Kit; Product Codes: ASK-42703-PAM1, ASK-42703-PSHR1, ASK-45703-PNY, ASK-45703-PWHC1                          ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product Code ASK-42703-PAM1:  13F17K0077  13F17L0494      Product code ASK-42703-PSHR1:  13F17C0361  13F17F0207  13F17H0518  13F17M0278      Product code ASK-45703-PNY:  13F17H0124  13F17H0451      Product code ASK-45703-PWHC1:  13F17E0022"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1989-2018","Class II","ARROWg+ard Blue PLUS¿ Pressure Injectable Quad-Lumen CVC Kit; Product Codes: CDC-42854-P1A and CDC-45854-P1A","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot numbers:   Product code CDC-42854-P1A:  13F17C0137  13F17E0177  13F17E0598  13F17F0644  13F17G0287  13F17H0118  13F17K0156  13F17L0017  13F17M0158      Product code CDC-45854-P1A:  13F17C0396  13F17C0439  13F17D0062  13F17D0284  13F17E0618  13F17F0126  13F17G0293  13F17H0263  13F17J0055  13F17K0168  13F17L0021  13F17L0353  13F17L0590"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1990-2018","Class II","Pressure Injectable Two-Lumen Central Venous Catheterization Kit with Blue FlexTip(R), ARROWg+ard Blue PLUS(R) Catheter and Sharps Safety Features; Product Code: ASK-45802-PHMW                          ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17E0141  13F17E0300  13F17H0147  13F17J0336"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1991-2018","Class II","Pressure Injectable Quad-Lumen Central Venous Catheterization Kit with Blue FlexTip(R), ARROWg+ard Blue PLUS(R) Catheter and Sharps Safety Features; Product Codes: ASK-45854-PSFM and ASK-42854-PRR                          ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product Code ASK-45854-PSFM:  13F17C0072  13F17E0166  13F17H0261  13F17J0339  13F17L0020  13F17L0401      Product Code ASK-42854-PRR:  13F17B0034  13F17B0278  13F17E0800  13F17H0142  13F17K0160"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1992-2018","Class II","ARROWg+ard Blue PLUS¿ Pressure Injectable Two-Lumen CVC Kit; Product Code: CDC-42802-P1A                          ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17B0333  13F17C0338  13F17D0322  13F17E0539  13F17E0870  13F17F0116  13F17H0136  13F17J0024  13F17K0268  13F17L0062  13F17L0207  13F17L0397"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1993-2018","Class II","Pressure Injectable ARROWg+ard Blue PLUS(R) Two-Lumen Central Venous Catheterization Kit; Product Code: ASK-42802-PWHC1                        ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17D0321  13F17H0137  13F17L0063  13F17L0555"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1994-2018","Class II","ARROWg+ard Blue PLUS¿ Pressure Injectable Multi-Lumen CVC Kit; Product Codes: CDC-45703-P1A; CDC-45703-PB1A; CDC-42703-P1A; and CDC-15703-P1A                      ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product Code CDC-45703-P1A:  13F17J0061  13F17J0084  13F17J0451  13F17K0249  13F17K0250  13F17K0383  13F17K0575  13F17L0576  13F17M0154    Product code CDC-45703-PB1A:  13F17B0350  13F17E0048  13F17E0719  13F17H0308  13F17L0099    Product code CDC-42703-P1A:  13F16M0232  13F17J0065  13F17J0450  13F17K0069  13F17K0136  13F17K0288  13F17K0419  13F17K0567  13F17L0223  13F17L0573    Product code CDC-15703-P1A:  13F17A0025  13F17E0279  13F17E0457  13F17F0160  13F17F0769  13F17G0349  13F17J0133  13F17J0134  13F17L0103  13F17M0200"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1995-2018","Class II","Pressure Injectable Multi-Lumen Central Venous Catheterization Kit with Blue FlexTip¿, ARROWg+ard Blue PLUS¿ Catheter, Sharps Safety Features and Maximal Barrier Precautions; Product Codes: ASK-45703-LDP1, ASK-45703-PBHS, ASK-45703-PHMC                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product Codes ASK-45703-LDP1:  13F17G0033    Product code ASK-45703-PBHS:  13F16M0260  13F17C0150  13F17E0406  13F17G0421  13F17H0420  13F17L0522      Product code ASK-45703-PHMC:  13F17A0047  13F17B0011  13F17H0012  13F17L0421"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1996-2018","Class II","Pressure Injectable Multi-Lumen Central Venous Catheterization Kit with Blue FlexTip(R), ARROWg+ard Blue PLUS(R) Catheter, Sharps Safety Features and Maximal Barrier Precautions; Product Code: ASK-42703-PHCH                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17B0408  13F17E0421  13F17L0288"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1997-2018","Class II","Pressure Injectable Multi-Lumen Central Venous Catheterization Kit with Blue FlexTip(R), ARROWg+ard Blue PLUS(R) Catheter and Sharps Safety Features; Product Codes: ASK-42703-PTJH and ASK-45703-PTJH                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product Code ASK-42703-PTJH:  13F17A0168  13F17C0074  13F17D0339  13F17G0029  13F17G0453  13F17L0509      Product code ASK-45703-PTJH:  13F17B0016  13F17C0089  13F17D0105  13F17F0062  13F17H0250  13F17K0220  13F17L0560"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1998-2018","Class II","Multi-Lumen Central Venous Catheterization Kit with Blue FlexTip(R), ARROWg+ard Blue PLUS(R) Catheter, Sharps Safety Features and Maximal Barrier Precautions; Product Code: ASK-42703-RV1                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17B0020  13F17B0269  13F17C0303  13F17F0317  13F17H0062  13F17J0386  13F17K0583  13F17L0455"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1999-2018","Class II","Multi-Lumen Central Venous Catheterization Kit with Blue FlexTip(R), ARROWg+ard Blue PLUS(R) Catheter, Sharps Safety Features and Maximal Barrier Precautions; Product Code: ASK-42703-RV1                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17B0020  13F17B0269  13F17C0303  13F17F0317  13F17H0062  13F17J0386  13F17K0583  13F17L0455"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-2000-2018","Class II","ARROWg+ard Blue PLUS(R) Multi-Lumen Central Venous Catheterization Kit; Product Code: ASK-42703-SJH                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17E0547  13F17F0680  13F17G0214  13F17J0347  13F17L0150"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-2001-2018","Class II","Double-Lumen Central Venous Catheterization Kit with Blue FlexTip(R), ARROWg+ard Blue PLUS(R) Catheter and Sharps Safety Features; Product Codes: ASK-42802-VC and ASK-47702-VC                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product Code ASK-42802-VC:  13F17B0388  13F17E0134  13F17H0132  13F17K0152    Product code ASK-47702-VC:  13F17E0669  13F17H0311  13F17L0076"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-2002-2018","Class II","Two-Lumen Central Venous Catheterization Kit with Blue FlexTip(R), ARROWg+ard Blue PLUS(R) Catheter, Sharps Safety Features and Maximal Barrier Precautions; Product Code: ASK-42802-DMC                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17C0063  13F17F0665  13F17H0388"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-2003-2018","Class II","Multi-Lumen Central Venous Catheterization Kit with Blue FlexTip(R), ARROWg+ard Blue PLUS(R) Catheter and Sharps Safety Features; Product code: ASK-45703-AEH                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17E0712  13F17H0264  13F17K0086  13F17K0547  13F17L0647"
